Gene,Pathway,OG_TSG
ERBB3,REACTOME_SIGNALING_BY_ERBB2_IN_CANCER,TSG
HSP90AA1,REACTOME_SIGNALING_BY_ERBB2_IN_CANCER,TSG
CDC37,REACTOME_SIGNALING_BY_ERBB2_IN_CANCER,TSG
GAB1,REACTOME_SIGNALING_BY_ERBB2_IN_CANCER,TSG
ERBIN,REACTOME_SIGNALING_BY_ERBB2_IN_CANCER,TSG
HBEGF,REACTOME_SIGNALING_BY_ERBB2_IN_CANCER,TSG
SOS1,REACTOME_SIGNALING_BY_ERBB2_IN_CANCER,TSG
PIK3CA,REACTOME_SIGNALING_BY_ERBB2_IN_CANCER,TSG
PLCG1,REACTOME_SIGNALING_BY_ERBB2_IN_CANCER,TSG
EREG,REACTOME_SIGNALING_BY_ERBB2_IN_CANCER,TSG
PTPN12,REACTOME_SIGNALING_BY_ERBB2_IN_CANCER,TSG
KRAS,REACTOME_SIGNALING_BY_ERBB2_IN_CANCER,TSG
EGF,REACTOME_SIGNALING_BY_ERBB2_IN_CANCER,TSG
ERBB2,REACTOME_SIGNALING_BY_ERBB2_IN_CANCER,TSG
PIK3R1,REACTOME_SIGNALING_BY_ERBB2_IN_CANCER,TSG
EGFR,REACTOME_SIGNALING_BY_ERBB2_IN_CANCER,TSG
NRG1,REACTOME_SIGNALING_BY_ERBB2_IN_CANCER,TSG
NRG2,REACTOME_SIGNALING_BY_ERBB2_IN_CANCER,TSG
SHC1,REACTOME_SIGNALING_BY_ERBB2_IN_CANCER,TSG
NRG4,REACTOME_SIGNALING_BY_ERBB2_IN_CANCER,TSG
HRAS,REACTOME_SIGNALING_BY_ERBB2_IN_CANCER,TSG
BTC,REACTOME_SIGNALING_BY_ERBB2_IN_CANCER,TSG
GRB2,REACTOME_SIGNALING_BY_ERBB2_IN_CANCER,TSG
ERBB4,REACTOME_SIGNALING_BY_ERBB2_IN_CANCER,TSG
NRG3,REACTOME_SIGNALING_BY_ERBB2_IN_CANCER,TSG
NRAS,REACTOME_SIGNALING_BY_ERBB2_IN_CANCER,TSG
HSP90AA1,REACTOME_CONSTITUTIVE_SIGNALING_BY_LIGAND_RESPONSIVE_EGFR_CANCER_VARIANTS,TSG
CDC37,REACTOME_CONSTITUTIVE_SIGNALING_BY_LIGAND_RESPONSIVE_EGFR_CANCER_VARIANTS,TSG
GAB1,REACTOME_CONSTITUTIVE_SIGNALING_BY_LIGAND_RESPONSIVE_EGFR_CANCER_VARIANTS,TSG
